Genre,Rank,RatingTomatometer,Title,No. of Reviews
Science Fiction & Fantasy,23,92%,Spider-Man: Homecoming (2017),395
Science Fiction & Fantasy,24,90%,Shazam! (2019),413
Science Fiction & Fantasy,25,94%,The Dark Knight (2008),345
Science Fiction & Fantasy,26,98%,The Bride of Frankenstein (1935),47
Science Fiction & Fantasy,27,98%,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),93
Science Fiction & Fantasy,28,90%,Captain America: Civil War (2016),427
Science Fiction & Fantasy,29,88%,Blade Runner 2049 (2017),443
Science Fiction & Fantasy,30,100%,Pinocchio (1940),56
Science Fiction & Fantasy,31,100%,Frankenstein (1931),52
Science Fiction & Fantasy,32,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Science Fiction & Fantasy,33,90%,The Lighthouse (2019),382
Science Fiction & Fantasy,34,94%,It's a Wonderful Life (1946),90
Science Fiction & Fantasy,35,93%,Sorry to Bother You (2018),311
Science Fiction & Fantasy,36,85%,Avengers: Infinity War (2018),485
Science Fiction & Fantasy,37,91%,The Martian (2015),384
Science Fiction & Fantasy,38,94%,Star Trek (2009),355
Science Fiction & Fantasy,39,87%,Ant-Man and the Wasp (2018),439
Science Fiction & Fantasy,40,92%,Guardians of the Galaxy (2014),334
Science Fiction & Fantasy,41,97%,Kubo and the Two Strings (2016),226
Science Fiction & Fantasy,42,92%,Star Wars: Episode IV - A New Hope (1977),132
Science Fiction & Fantasy,43,99%,How to Train Your Dragon (2010),212
Science Fiction & Fantasy,44,98%,Invasion of the Body Snatchers (1956),58
Science Fiction & Fantasy,45,94%,Her (2013),283
Science Fiction & Fantasy,46,91%,Marvel's The Avengers (2012),362
Science Fiction & Fantasy,47,95%,WALL-E (2008),260
Science Fiction & Fantasy,48,94%,Iron Man (2008),281
Science Fiction & Fantasy,49,96%,Beauty and The Beast (La Belle et la bête) (1946),67
Science Fiction & Fantasy,50,100%,The Terminator (1984),65
Science Fiction & Fantasy,51,98%,Dumbo (1941),43
Science Fiction & Fantasy,52,94%,Snowpiercer (2014),260
Science Fiction & Fantasy,53,91%,Live Die Repeat: Edge of Tomorrow (2014),328
Science Fiction & Fantasy,54,92%,2001: A Space Odyssey (1968),114
Science Fiction & Fantasy,55,98%,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),53
Science Fiction & Fantasy,56,89%,Doctor Strange (2016),385
Science Fiction & Fantasy,57,94%,Raya and the Last Dragon (2021),283
Science Fiction & Fantasy,58,98%,The Princess Bride (1987),80
Science Fiction & Fantasy,59,97%,Aliens (1986),78
Science Fiction & Fantasy,60,98%,8 1/2 (1963),54
Science Fiction & Fantasy,61,94%,Star Wars: Episode V - The Empire Strikes Back (1980),105
Science Fiction & Fantasy,62,97%,Groundhog Day (1993),86
Science Fiction & Fantasy,63,90%,X-Men: Days of Future Past (2014),331
Science Fiction & Fantasy,64,95%,The Day the Earth Stood Still (1951),57
Science Fiction & Fantasy,65,96%,Miracle on 34th Street (1947),48
Science Fiction & Fantasy,66,95%,Pan's Labyrinth (2006),239
Science Fiction & Fantasy,67,93%,Looper (2012),270
Science Fiction & Fantasy,68,94%,Possessor: Uncut (2020),219
Science Fiction & Fantasy,69,85%,Guardians of the Galaxy Vol. 2 (2017),423
Science Fiction & Fantasy,70,100%,Stalker (1979),41
Science Fiction & Fantasy,71,94%,Beauty and the Beast (1991),118
Science Fiction & Fantasy,72,95%,The Nightmare Before Christmas (1993),100
Science Fiction & Fantasy,73,92%,Ex Machina (2015),283
Science Fiction & Fantasy,74,90%,Dawn Of The Planet Of The Apes (2014),315
Science Fiction & Fantasy,75,79%,Captain Marvel (2019),543
Science Fiction & Fantasy,76,94%,The Invisible Man (1933),51
Science Fiction & Fantasy,77,88%,Onward (2020),337
Science Fiction & Fantasy,78,96%,"Monsters, Inc. (2001)",199
Science Fiction & Fantasy,79,92%,Jurassic Park (1993),130
Science Fiction & Fantasy,80,97%,Big (1988),76
Science Fiction & Fantasy,81,90%,Captain America: The Winter Soldier (2014),308
Science Fiction & Fantasy,82,95%,The Lord of the Rings: The Two Towers (2002),255
Science Fiction & Fantasy,83,97%,Ghostbusters (1984 Original) (1984),73
Science Fiction & Fantasy,84,97%,Spirited Away (2002),195
Science Fiction & Fantasy,85,90%,10 Cloverfield Lane (2016),316
Science Fiction & Fantasy,86,92%,The Vast of Night (2020),245
Science Fiction & Fantasy,87,94%,The Seventh Seal (Det Sjunde inseglet) (1957),63
Science Fiction & Fantasy,88,98%,Jodorowsky's Dune (2014),121
Science Fiction & Fantasy,89,99%,Song Of The Sea (2014),97
Science Fiction & Fantasy,90,96%,The Iron Giant (1999),142
Science Fiction & Fantasy,91,96%,Back to the Future (1985),83
Science Fiction & Fantasy,92,98%,Wings of Desire (1987),56
Science Fiction & Fantasy,93,95%,Fantasia (1940),56
Science Fiction & Fantasy,94,88%,Annihilation (2018),327
Science Fiction & Fantasy,95,97%,Border (Gräns) (2018),130
Science Fiction & Fantasy,96,96%,Forbidden Planet (1956),47
Science Fiction & Fantasy,97,90%,The Hunger Games: Catching Fire (2013),293
Science Fiction & Fantasy,98,94%,Young Frankenstein (1974),69
Science Fiction & Fantasy,99,93%,The Lord of the Rings: The Return of the King (2003),275
Science Fiction & Fantasy,100,98%,Brazil (1985),49
Special Interest,1,98%,The Bride of Frankenstein (1935),47
Special Interest,2,100%,Frankenstein (1931),52
Special Interest,3,98%,Life Itself (2014),203
Special Interest,4,100%,Man on Wire (2008),159
Special Interest,5,94%,Her (2013),283
Special Interest,6,98%,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),53
Special Interest,7,97%,Groundhog Day (1993),86
Special Interest,8,95%,Amy (2015),225
Special Interest,9,96%,Miracle on 34th Street (1947),48
Special Interest,10,98%,Blackfish (2013),131
Special Interest,11,100%,Taxi to the Dark Side (2007),93
Special Interest,12,100%,The Decline of Western Civilization (1981),40
Special Interest,13,98%,Murderball (2005),141
Special Interest,14,98%,Jodorowsky's Dune (2014),121
Special Interest,15,98%,Inside Job (2010),148
Special Interest,16,100%,The Square (Al Midan) (2013),69
Special Interest,17,99%,Jiro Dreams of Sushi (2012),95
Special Interest,18,98%,Paris Is Burning (1991),57
Special Interest,19,96%,Waltz with Bashir (2008),153
Special Interest,20,98%,Hoop Dreams (1994),60
Special Interest,21,99%,The Interrupters (2011),93
Special Interest,22,100%,Afghan Star (2009),62
Special Interest,23,97%,Capturing the Friedmans (2003),154
Special Interest,24,100%,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",42
Special Interest,25,99%,The Invisible War (2012),72
Special Interest,26,99%,56 Up (2013),69
Special Interest,27,99%,Elaine Stritch: Shoot Me (2014),67
Special Interest,28,95%,The Act Of Killing (2013),160
Special Interest,29,100%,Last Train Home (2010),55
Special Interest,30,97%,Spellbound (2002),139
Special Interest,31,97%,Enron: The Smartest Guys in the Room (2005),119
Special Interest,32,100%,Sholem Aleichem: Laughing in the Darkness (2011),43
Special Interest,33,98%,Ai Weiwei: Never Sorry (2012),83
Special Interest,34,98%,How to Survive a Plague (2012),80
Special Interest,35,97%,This Is Not a Film (2012),102
Special Interest,36,96%,Cave of Forgotten Dreams (2011),137
Special Interest,37,97%,The King of Kong: A Fistful of Quarters (2007),102
Special Interest,38,96%,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),142
Special Interest,39,95%,Bowling for Columbine (2002),173
Special Interest,40,97%,Muscle Shoals (2013),87
Special Interest,41,93%,Love Is Strange (2014),176
Special Interest,42,98%,The War Tapes (2006),65
Special Interest,43,90%,Gilda (1946),70
Special Interest,44,96%,Undefeated (2012),102
Special Interest,45,98%,A Film Unfinished (2010),65
Special Interest,46,94%,Last Year at Marienbad (L'année dernière à Marienbad) (1961),53
Special Interest,47,97%,The Overnighters (2014),73
Special Interest,48,92%,Holy Motors (2012),196
Special Interest,49,98%,Call Me Kuchu (2013),51
Special Interest,50,98%,Mea Maxima Culpa: Silence In The House Of God (2012),50
Special Interest,51,96%,Restrepo (2010),118
Special Interest,52,95%,The Queen of Versailles (2012),120
Special Interest,53,98%,Let The Fire Burn (2013),46
Special Interest,54,96%,Exit Through The Gift Shop (2010),115
Special Interest,55,98%,For the Bible Tells Me So (2007),51
Special Interest,56,98%,Blindsight (2006),50
Special Interest,57,95%,The Imposter (2012),117
Special Interest,58,95%,Marley (2012),114
Special Interest,59,98%,Surfwise (2007),46
Special Interest,60,96%,No End in Sight (2007),98
Special Interest,61,97%,The Life and Times of Hank Greenberg (2000),65
Special Interest,62,97%,Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country) (2008),62
Special Interest,63,93%,Pandora's Box (1929),41
Special Interest,64,97%,49 Up (2006),65
Special Interest,65,95%,Finding Vivian Maier (2014),102
Special Interest,66,93%,An Inconvenient Truth (2006),166
Special Interest,67,95%,Winged Migration (2003),132
Special Interest,68,91%,Sicko (2007),219
Special Interest,69,97%,Sweetgrass (2009),64
Special Interest,70,96%,"Bigger, Stronger, Faster* (2008)",76
Special Interest,71,96%,Trouble the Water (2008),76
Special Interest,72,95%,"Food, Inc. (2009)",114
Special Interest,73,92%,Shaun of the Dead (2004),215
Special Interest,74,96%,Chasing Ice (2012),72
Special Interest,75,97%,To Be and to Have (Etre et Avoir) (2003),59
Special Interest,76,95%,The Salt of the Earth (2015),94
Special Interest,77,95%,The Wild Parrots of Telegraph Hill (2005),101
Special Interest,78,94%,The Gatekeepers (2013),113
Special Interest,79,95%,"20,000 Days on Earth (2014)",88
Special Interest,80,94%,Wordplay (2006),123
Special Interest,81,95%,Control Room (2004),111
Special Interest,82,96%,Bus 174 (Ônibus 174) (2003),79
Special Interest,83,94%,Touching the Void (2004),140
Special Interest,84,95%,Born Into Brothels (2004),108
Special Interest,85,95%,My Winnipeg (2007),92
Special Interest,86,96%,Manakamana (2014),54
Special Interest,87,96%,I Am Divine (2013),54
Special Interest,88,95%,Cutie And The Boxer (2013),75
Special Interest,89,96%,Brooklyn Castle (2012),53
Special Interest,90,96%,Deep Water (2006),55
Special Interest,91,95%,Crumb (1995),42
Special Interest,92,96%,The Last of the Unjust (2014),48
Special Interest,93,95%,Good Hair (2009),84
Special Interest,94,96%,The Devil Came on Horseback (2007),54
Special Interest,95,96%,Up the Yangtze (2007),53
Special Interest,96,96%,5 Broken Cameras (2012),48
Special Interest,97,95%,National Gallery (2014),66
Special Interest,98,96%,Plagues & Pleasures on the Salton Sea (2004),53
Special Interest,99,95%,Last Days in Vietnam (2014),62
Special Interest,100,92%,Super Size Me (2004),171
Sports & Fitness,1,98%,Murderball (2005),141
Sports & Fitness,2,100%,Athlete A (2020),57
Sports & Fitness,3,98%,Hoop Dreams (1994),60
Sports & Fitness,4,98%,When We Were Kings (1996),49
Sports & Fitness,5,97%,The King of Kong: A Fistful of Quarters (2007),102
Sports & Fitness,6,96%,Undefeated (2012),102
Sports & Fitness,7,91%,The Fighter (2010),254
Sports & Fitness,8,98%,Surfwise (2007),46
Sports & Fitness,9,97%,The Life and Times of Hank Greenberg (2000),65
Sports & Fitness,10,91%,Rocky (1976),69
Sports & Fitness,11,94%,Touching the Void (2004),140
Sports & Fitness,12,84%,Battle of the Sexes (2017),318
Sports & Fitness,13,96%,The Crash Reel (2013),46
Sports & Fitness,14,92%,Sugar (2008),138
Sports & Fitness,15,93%,Senna (2011),122
Sports & Fitness,16,92%,The Damned United (2009),139
Sports & Fitness,17,83%,Creed II (2018),309
Sports & Fitness,18,95%,Boxing Gym (2010),42
Sports & Fitness,19,92%,Red Army (2015),101
Sports & Fitness,20,93%,Riding Giants (2004),96
Sports & Fitness,21,92%,Dogtown and Z-Boys (2001),98
Sports & Fitness,22,91%,Hoosiers (1986),46
Sports & Fitness,23,89%,Heaven Can Wait (1978),46
Sports & Fitness,24,92%,Up for Grabs (2005),48
Sports & Fitness,25,89%,The Color of Money (1986),47
Sports & Fitness,26,88%,Girlfight (2000),129
Sports & Fitness,27,88%,Tristram Shandy: A Cock & Bull Story (2005),129
Sports & Fitness,28,87%,Field of Dreams (1989),63
Sports & Fitness,29,87%,The Heart of the Game (2005),100
Sports & Fitness,30,85%,Tyson (2009),147
Sports & Fitness,31,83%,The Hurricane (1999),114
Sports & Fitness,32,82%,Chariots of Fire (1981),74
Sports & Fitness,33,85%,Looking for Eric (2010),100
Sports & Fitness,34,82%,The Armstrong Lie (2013),122
Sports & Fitness,35,84%,You Cannot Kill David Arquette (2020),56
Sports & Fitness,36,83%,Major League (1989),40
Sports & Fitness,37,85%,Go Tigers! (2001),40
Sports & Fitness,38,80%,A League of Their Own (1992),74
Sports & Fitness,39,81%,Goon (2012),106
Sports & Fitness,40,82%,Beyond the Mat (1999),67
Sports & Fitness,41,76%,Invictus (2009),246
Sports & Fitness,42,80%,The Boxer (1997),71
Sports & Fitness,43,83%,Vision: From the Life of Hildegard von Bingen (2010),40
Sports & Fitness,44,81%,Step Into Liquid (2003),80
Sports & Fitness,45,81%,Once in a Lifetime: The Extraordinary Story of the New York Cosmos (2006),59
Sports & Fitness,46,80%,Fed Up (2014),70
Sports & Fitness,47,81%,Stoked: The Rise and Fall of Gator (2003),47
Sports & Fitness,48,71%,Talladega Nights: The Ballad of Ricky Bobby (2006),187
Sports & Fitness,49,72%,Invincible (2006),136
Sports & Fitness,50,74%,Ultimate X: The Movie (2002),47
Sports & Fitness,51,72%,Gunnin' for That #1 Spot (2008),43
Sports & Fitness,52,66%,The Blind Side (2009),206
Sports & Fitness,53,71%,More Than a Game (2009),51
Sports & Fitness,54,64%,Secretariat (2010),158
Sports & Fitness,55,64%,The Sandlot (1993),59
Sports & Fitness,56,60%,Dust to Glory (2005),68
Sports & Fitness,57,61%,NASCAR: The IMAX Experience (2004),44
Sports & Fitness,58,56%,Glory Road (2006),153
Sports & Fitness,59,55%,Because of Winn-Dixie (2005),122
Sports & Fitness,60,57%,The Perfect Game (2010),44
Sports & Fitness,61,54%,Steep (2007),48
Sports & Fitness,62,52%,First Descent (2005),64
Sports & Fitness,63,45%,Soul Surfer (2011),106
Sports & Fitness,64,41%,The Replacements (2000),108
Sports & Fitness,65,41%,Beerfest (2006),108
Sports & Fitness,66,42%,Goal! The Dream Begins (Goal!: The Impossible Dream) (2005),83
Sports & Fitness,67,31%,Grudge Match (2013),144
Sports & Fitness,68,22%,Jiminy Glick in Lalawood (2005),45
Sports & Fitness,69,4%,Playing for Keeps (2012),91
Television,1,98%,Life Itself (2014),203
Television,2,100%,Afghan Star (2009),62
Television,3,98%,A Film Unfinished (2010),65
Television,4,94%,Room 237 (2013),133
Television,5,97%,49 Up (2006),65
Television,6,96%,The Return (2004),89
Television,7,94%,Behind the Candelabra (2013),108
Television,8,95%,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)",66
Television,9,95%,Being Elmo: A Puppeteer's Journey (2011),78
Television,10,96%,Los Angeles Plays Itself (2003),45
Television,11,94%,Lost in La Mancha (2003),101
Television,12,91%,El Camino: A Breaking Bad Movie (2019),129
Television,13,95%,Sing Your Song (2012),40
Television,14,94%,American Movie (1999),48
Television,15,94%,Best Worst Movie (2010),70
Television,16,94%,The Normal Heart (2014),50
Television,17,93%,Side by Side (2012),68
Television,18,92%,Joan Rivers: A Piece Of Work (2010),109
Television,19,93%,"Yoo-hoo, Mrs. Goldberg (2009)",68
Television,20,91%,The Kid Stays in the Picture (2002),113
Television,21,88%,F for Fake (1974),50
Television,22,92%,"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2012)",48
Television,23,88%,Duel (1972),43
Television,24,91%,Saraband (2003),85
Television,25,92%,Corman's World: Exploits Of A Hollywood Rebel (2011),51
Television,26,89%,The Five Obstructions (2003),62
Television,27,84%,Doctor Zhivago (1965),50
Television,28,88%,Tell Them Who You Are (2005),65
Television,29,84%,This Film Is Not Yet Rated (2006),118
Television,30,85%,Trekkies (1999),41
Television,31,85%,Outfoxed: Rupert Murdoch's War on Journalism (2004),60
Television,32,82%,Inside Deep Throat (2005),122
Television,33,84%,Trumbo (2007),55
Television,34,83%,Confirmation (2016),48
Television,35,82%,Blank City (2011),44
Television,36,78%,Tupac: Resurrection (2003),90
Television,37,78%,Overnight (2004),78
Television,38,76%,Teacher's Pet (2004),74
Television,39,72%,POM Wonderful Presents: The Greatest Movie Ever Sold (2011),134
Television,40,73%,Fellini: I'm a Born Liar (2003),40
Television,41,72%,Only Human (Seres queridos) (2006),53
Television,42,71%,My Date With Drew (2004),65
Television,43,71%,Waking Sleeping Beauty (2010),51
Television,44,69%,Porn Star: The Legend of Ron Jeremy (2001),49
Television,45,61%,Cinema Verite (2011),41
Television,46,59%,The Rugrats Movie (1998),51
Television,47,53%,I'm Still Here (2010),132
Television,48,53%,Bamboozled (2000),106
Television,49,49%,No Strings Attached (2011),173
Television,50,50%,Phil Spector (2013),40
Television,51,36%,I Am (2011),47
Television,52,34%,The Real Cancun (2003),90
Television,53,32%,15 Minutes (2001),125
Television,54,21%,Man of the Year (2006),147
Television,55,21%,Pokémon 3: The Movie (2001),57
Television,56,13%,The Honeymooners (2005),112
Television,57,9%,From Justin To Kelly (2003),64
Western,1,100%,The Treasure of the Sierra Madre (1948),52
Western,2,97%,"The Good, the Bad and the Ugly (1966)",77
Western,3,100%,Stagecoach (1939),45
Western,4,95%,High Noon (1952),60
Western,5,96%,Unforgiven (1992),106
Western,6,95%,True Grit (2010),275
Western,7,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),51
Western,8,98%,Rio Bravo (1959),43
Western,9,96%,The Searchers (1956),50
Western,10,95%,Once Upon a Time in the West (1968),65
Western,11,98%,Deadwood: The Movie (2019),88
Western,12,94%,Johnny Guitar (1954),48
Western,13,89%,The Ballad of Buster Scruggs (2018),234
Western,14,94%,The Man Who Shot Liberty Valance (1962),48
Western,15,97%,Sweetgrass (2009),64
Western,16,90%,The Wild Bunch (1969),63
Western,17,86%,Django Unchained (2012),294
Western,18,89%,3:10 to Yuma (2007),224
Western,19,91%,Giant (1956),46
Western,20,94%,Lone Star (1996),48
Western,21,89%,True Grit (1969),55
Western,22,89%,Butch Cassidy and the Sundance Kid (1969),54
Western,23,88%,Blazing Saddles (1974),60
Western,24,91%,Bone Tomahawk (2015),98
Western,25,89%,The Magnificent Seven (1960),44
Western,26,90%,The Outlaw Josey Wales (1976),42
Western,27,91%,City Slickers (1991),43
Western,28,87%,The Harder They Fall (2021),190
Western,29,89%,Prospect (2018),53
Western,30,85%,The Three Burials of Melquiades Estrada (2006),149
Western,31,86%,Meek's Cutoff (2011),130
Western,32,84%,McCabe & Mrs. Miller (1971),56
Western,33,85%,The Proposition (2005),129
Western,34,85%,Westworld (1973),41
Western,35,83%,Dances With Wolves (1990),76
Western,36,74%,The Hateful Eight (2015),337
Western,37,81%,Near Dark (1987),68
Western,38,80%,The Homesman (2014),156
Western,39,79%,Open Range (2003),184
Western,40,79%,Shanghai Noon (2000),135
Western,41,82%,"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom) (2010)",66
Western,42,76%,Appaloosa (2008),164
Western,43,76%,The Assassination of Jesse James by the Coward Robert Ford (2007),176
Western,44,79%,Red Hill (2010),68
Western,45,71%,Hostiles (2018),225
Western,46,76%,The Ballad of Little Jo (1993),50
Western,47,77%,In a Valley of Violence (2016),69
Western,48,74%,Tombstone (1993),46
Western,49,75%,Blackthorn (2011),75
Western,50,74%,The Horse Whisperer (1998),57
Western,51,74%,The Keeping Room (2015),86
Western,52,75%,Fah talai jone (Tears of the Black Tiger) (2007),63
Western,53,64%,The Magnificent Seven (2016),315
Western,54,72%,The Salvation (2015),81
Western,55,71%,Dead Man (1995),52
Western,56,67%,The Rover (2014),171
Western,57,66%,Maverick (1994),53
Western,58,62%,The Claim (2000),85
Western,59,58%,The Missing (2003),174
Western,60,59%,Heaven's Gate (1980),46
Western,61,58%,Legends of the Fall (1994),57
Western,62,57%,The Quick and the Dead (1995),40
Western,63,55%,The Killer Inside Me (2010),129
Western,64,56%,Sukiyaki Western Django (2008),55
Western,65,55%,Seraphim Falls (2007),85
Western,66,55%,Ned Kelly (2003),58
Western,67,52%,Down in the Valley (2006),101
Western,68,44%,Cowboys & Aliens (2011),257
Western,69,49%,The Pale Door (2020),41
Western,70,45%,Three Amigos! (1986),42
Western,71,43%,Brimstone (2017),77
Western,72,43%,Jane Got a Gun (2016),82
Western,73,43%,The Kid (2019),46
Western,74,42%,Forsaken (2016),45
Western,75,33%,A Million Ways to Die in the West (2014),212
Western,76,30%,The Lone Ranger (2013),247
Western,77,32%,Wyatt Earp (1994),82
Western,78,29%,The Alamo (2004),159
Western,79,31%,The Warrior's Way (2010),42
Western,80,16%,The Dark Tower (2017),277
Western,81,17%,Wild Wild West (1999),132
Western,82,15%,Priest (2011),101
Western,83,16%,September Dawn (2007),55
Western,84,14%,American Outlaws (2001),103
Western,85,12%,Jonah Hex (2010),153
Western,86,2%,Texas Rangers (2001),51
